Ledger date,Value date,User,Record,Event,Ope,Description,Debit,Credit
2018-10-03,2018-10-03,SOUM,VM001834318,055048,092,SALARY SEPT 2018,,"100,000"
2018-10-04,2018-10-04,AUTO,SB069994243,994243,969,WITHDRWAL CHARGES Ref No: 9942,200,
2018-10-04,2018-10-04,AUTO,,994243,660,BKAD0006 Auth:000001 CUSTOMER,"20,000",
2018-10-08,2018-10-08,AIF,VS110225502,225502,674,MTN RWANDACELL LTD,"1,000",
2018-10-08,2018-10-08,AIF,VS110225497,225497,674,MTN RWANDACELL LTD,"2,000",
2018-10-10,2018-10-10,AUTO,SB06919274,19274,969,WITHDRWAL CHARGES Ref No: 1927,200,
2018-10-10,2018-10-10,AUTO,SB06919835,19835,969,WITHDRWAL CHARGES Ref No: 1983,200,
2018-10-10,2018-10-10,AUTO,,19274,660,BKAD0077 Auth:000002 CUSTOMER,"30,000",
2018-10-10,2018-10-10,AUTO,,19835,660,BKAD0077 Auth:000003 CUSTOMER,"20,000",
2018-10-15,2018-10-15,AIF,VS110243630,243630,674,MTN RWANDACELL LTD,"1,500",
2018-10-15,2018-10-15,AIF,VS110241833,241833,674,MTN RWANDACELL LTD,"5,500",
2018-10-15,2018-10-15,AIF,VS110244429,244429,674,MTN RWANDACELL LTD,"5,500",
2018-10-22,2018-10-22,AIF,VS110255448,255448,674,MTN RWANDACELL LTD,"2,000",
2018-10-22,2018-10-22,AIF,VS110257128,257128,674,MTN RWANDACELL LTD,"2,000",
2018-10-22,2018-10-22,AIF,VS110255403,255403,674,MTN RWANDACELL LTD,"3,000",
2018-10-22,2018-10-22,AIF,VS110258393,258393,674,MTN RWANDACELL LTD,"5,000",
2018-10-29,2018-10-29,AIF,VS110273020,273020,674,MTN RWANDACELL LTD,"2,500",
2018-10-31,2018-10-31,AUTO,SB069113127,113127,969,WITHDRWAL CHARGES Ref No: 1131,200,
2018-10-31,2018-10-31,SOUM,VM001842935,125577,092,SALARY/OCTOBER/2018,,"100,000"
2018-10-31,2018-10-31,AIF,VS110282456,282456,674,MTN RWANDACELL LTD,"1,000",
2018-10-31,2018-10-31,AUTO,,113127,660,BKAD0037 Auth:000004 CUSTOMER,"20,000",
2018-11-02,2018-11-02,AIF,VS110286094,286094,674,MTN RWANDACELL LTD,"5,000",
2018-11-05,2018-11-05,AUTO,SB069130947,130947,969,WITHDRWAL CHARGES Ref No: 1309,200,
2018-11-05,2018-11-05,AUTO,,130947,660,BKAD0006 Auth:000005 CUSTOMER,"20,000",
2018-11-05,2018-11-05,AIF,VS110292202,292202,674,MTN RWANDACELL LTD,"10,000",
2018-11-07,2018-11-07,AIF,VS110300666,300666,674,MTN RWANDACELL LTD,"1,000",
2018-11-08,2018-11-08,AUTO,SB069148927,148927,969,WITHDRWAL CHARGES Ref No: 1489,200,
2018-11-08,2018-11-08,AUTO,,148927,660,BKAD0085 Auth:000006 CUSTOMER,"10,000",
2018-11-12,2018-11-12,AIF,VS110310722,310722,674,MTN RWANDACELL LTD,"1,000",
2018-11-12,2018-11-12,AIF,VS110312943,312943,674,MTN RWANDACELL LTD,"1,500",
2018-11-13,2018-11-13,AIF,VS110313555,313555,674,MTN RWANDACELL LTD,"5,000",
2018-11-14,2018-11-14,AUTO,SB069179207,179207,969,WITHDRWAL CHARGES Ref No: 1792,200,
2018-11-14,2018-11-14,AIF,VS110317050,317050,674,MTN RWANDACELL LTD,"1,000",
2018-11-14,2018-11-14,AUTO,,179207,660,BKAD0037 Auth:000007 CUSTOMER,"15,000",
2018-11-19,2018-11-19,AIF,VS110324621,324621,674,MTN RWANDACELL LTD,"1,000",
2018-11-19,2018-11-20,OBUS,VE002441206,441206,009,SELF DEPOSIT,,"87,000"
2018-11-19,2018-11-19,AUTO,,138700,661,00000001 Auth:000008 CUSTOMER,"3,600",
2018-11-20,2018-11-20,AIF,VS110329195,329195,674,CHARGES MTN_PULL,200,
2018-11-20,2018-11-20,AIF,VS110328709,328709,674,CHARGES MTN_PULL,200,
2018-11-20,2018-11-20,AIF,VS110329004,329004,674,CHARGES MTN_PULL,200,
2018-11-20,2018-11-20,AIF,VS110329195,329195,674,MTN RWANDACELL LTD,"2,000",
2018-11-20,2018-11-20,AIF,VS110328709,328709,674,MTN RWANDACELL LTD,"8,000",
2018-11-20,2018-11-20,AIF,VS110329004,329004,674,MTN RWANDACELL LTD,"6,000",
2018-11-26,2018-11-26,AIF,VS110334391,334391,674,CHARGES MTN_PULL,200,
2018-11-26,2018-11-26,AIF,VS110337630,337630,674,CHARGES MTN_PULL,200,
2018-11-26,2018-11-26,AIF,VS110336257,336257,674,MTN RWANDACELL LTD,"10,000",
2018-11-26,2018-11-26,AIF,VS110336257,336257,674,CHARGES MTN_PULL,200,
2018-11-26,2018-11-26,AIF,VS110335496,335496,674,CHARGES MTN_PULL,200,
2018-11-26,2018-11-26,AUTO,SB069229418,229418,969,WITHDRWAL CHARGES Ref No: 2294,200,
2018-11-26,2018-11-26,AIF,VS110337630,337630,674,MTN RWANDACELL LTD,"1,000",
2018-11-26,2018-11-26,AIF,VS110334391,334391,674,MTN RWANDACELL LTD,"2,000",
2018-11-26,2018-11-26,AIF,VS110335496,335496,674,MTN RWANDACELL LTD,"5,000",
2018-11-26,2018-11-26,AUTO,,229418,660,BKAD0006 Auth:000009 CUSTOMER,"6,000",
2018-11-27,2018-11-27,AIF,VS110344415,344415,674,CHARGES MTN_PULL,200,
2018-11-27,2018-11-27,AIF,VS110344415,344415,674,MTN RWANDACELL LTD,"31,000",
2018-11-28,2018-11-28,AIF,VS110347239,347239,674,CHARGES MTN_PULL,200,
2018-11-28,2018-11-28,AUTO,SB069239293,239293,969,WITHDRWAL CHARGES Ref No: 2392,200,
2018-11-28,2018-11-28,AUTO,,239293,660,BKAD0077 Auth:000010 CUSTOMER,"10,000",
2018-11-28,2018-11-28,AIF,VS110347239,347239,674,MTN RWANDACELL LTD,"3,500",
2018-11-30,2018-11-30,AIF,VS110352617,352617,674,CHARGES MTN_PULL,200,
2018-11-30,2018-11-30,CUWE,VM001852853,221163,092,SALARY NOV 2018,,"77,200"
2018-11-30,2018-12-01,AUTO,AG310886,310886,989,FRAIS FIXE AU 30/11/18,200,
2018-11-30,2018-11-30,AIF,VS110352617,352617,674,MTN RWANDACELL LTD,"1,000",
2018-12-03,2018-12-03,AIF,VS110357061,357061,674,CHARGES MTN_PULL,200,
2018-12-03,2018-12-03,AIF,VS110361672,361672,674,CHARGES MTN_PULL,200,
2018-12-03,2018-12-03,AIF,VS110359028,359028,674,CHARGES MTN_PULL,200,
2018-12-03,2018-12-03,AIF,VS110357061,357061,674,MTN RWANDACELL LTD,"1,000",
2018-12-03,2018-12-03,AIF,VS110361672,361672,674,MTN RWANDACELL LTD,"1,000",
2018-12-03,2018-12-03,AIF,VS110359028,359028,674,MTN RWANDACELL LTD,"3,400",
