Booking Date,Value Date,Reference,Description,Debit,Credit,Balance
03/06/2025,03/06/2025,FT25154UZBOE,MM 20140000015 250788000005,"-120,000.00",,"2,288,456.00"
03/06/2025,03/06/2025,CHG2515466IY5,,-20.00,,"2,288,436.00"
03/06/2025,03/06/2025,FT25154GMJJK,MM 20140000016 250788000002,"-400,000.00",,"1,888,436.00"
03/06/2025,03/06/2025,CHG25154VYZ5Y,,-20.00,,"1,888,416.00"
04/06/2025,04/06/2025,FT2515587UQG,MM 20140000017 250788000001,"-101,000.00",,"1,787,416.00"
04/06/2025,04/06/2025,CHG25155GLR5T,,-20.00,,"1,787,396.00"
04/06/2025,04/06/2025,FT251550GP5Y,MM 20140000018 250788000004,"-120,000.00",,"1,667,396.00"
04/06/2025,04/06/2025,CHG25155A7T4W,,-20.00,,"1,667,376.00"
05/06/2025,05/06/2025,FT25156GUNBT,MM 20140000019 250788000006,"-790,000.00",,"877,376.00"
05/06/2025,05/06/2025,CHG25156F539K,,-20.00,,"877,356.00"
05/06/2025,05/06/2025,FT25156WJIPB,MM 20140000020 250788000002,"-110,000.00",,"767,356.00"
05/06/2025,05/06/2025,CHG25156UNFCS,,-20.00,,"767,336.00"
08/06/2025,08/06/2025,FT2515925MOX,MM 20140000021 250788000007,"-47,954.00",,"719,382.00"
08/06/2025,08/06/2025,CHG25159ZE6HM,,-20.00,,"719,362.00"
09/06/2025,09/06/2025,FT25160EBKUJ,MM 20140000022 250788000003,"-151,000.00",,"568,362.00"
09/06/2025,09/06/2025,CHG25160Q1WSO,,-20.00,,"568,342.00"
10/06/2025,10/06/2025,TT25161L0AQD,VT CUSTOMER ONE,,"1,200,000.00","1,768,342.00"
10/06/2025,10/06/2025,CHG25161T2214,,-20.00,,"1,768,322.00"
11/06/2025,11/06/2025,FT25162ADJ6H,TRANSEFER,,"1,008,000.00","2,776,322.00"
11/06/2025,11/06/2025,CHG25162YN7UQ,,-20.00,,"2,776,302.00"
11/06/2025,11/06/2025,FT251622FAL2,MM 20140000023 250788000003,"-220,000.00",,"2,556,302.00"
11/06/2025,11/06/2025,CHG2516213LSX,,-20.00,,"2,556,282.00"
13/06/2025,13/06/2025,FT25164P3KIG,TRANSFER,,"2,841,000.00","5,397,282.00"
13/06/2025,13/06/2025,CHG25164ZA5RH,,-20.00,,"5,397,262.00"
13/06/2025,13/06/2025,FT25164N70B9,MM 20140000024 250788000002,"-50,000.00",,"5,347,262.00"
13/06/2025,13/06/2025,CHG25164ED4DW,,-20.00,,"5,347,242.00"
15/06/2025,15/06/2025,FT251669POHD,expenses,-200.00,,"5,347,042.00"
15/06/2025,15/06/2025,FT251669POHD,expenses,"-20,000.00",,"5,327,042.00"
15/06/2025,15/06/2025,CHG25166UDTY9,,-20.00,,"5,327,022.00"
17/06/2025,17/06/2025,FT25168JUQLI,MM 20140000025 250788000005,"-100,000.00",,"5,227,022.00"
17/06/2025,17/06/2025,CHG25168I6E6I,,-20.00,,"5,227,002.00"
19/06/2025,19/06/2025,FT25170MS5VE,MM 20140000026 250788000002,"-195,000.00",,"5,032,002.00"
19/06/2025,19/06/2025,CHG25170PBPT4,,-20.00,,"5,031,982.00"
24/06/2025,24/06/2025,FT25175URMQD,MM 20140000027 250788000005,"-80,000.00",,"4,951,982.00"
24/06/2025,24/06/2025,CHG25175NERSR,,-20.00,,"4,951,962.00"
25/06/2025,25/06/2025,FT25176JREE0,MM 20140000028 250788000005,"-70,000.00",,"4,881,962.00"
25/06/2025,25/06/2025,CHG25176SODSC,,-20.00,,"4,881,942.00"
25/06/2025,25/06/2025,FT25176C9P0A,MM 20140000029 250788000003,"-53,000.00",,"4,828,942.00"
25/06/2025,25/06/2025,CHG25176JZIXN,,-20.00,,"4,828,922.00"
25/06/2025,25/06/2025,FT25176NZNUV,TRANSFER,,"336,000.00","5,164,922.00"
25/06/2025,25/06/2025,CHG25176CF7B7,,-20.00,,"5,164,902.00"
30/06/2025,30/06/2025,FT2518125KGR,MM 20140000030 250788000008,"-820,000.00",,"4,344,902.00"
30/06/2025,30/06/2025,CHG25181OQWXX,,-20.00,,"4,344,882.00"
30/06/2025,30/06/2025,FT25181H0YPL,MM 20140000031 250788000005,"-70,000.00",,"4,274,882.00"
30/06/2025,30/06/2025,CHG25181IJ1W5,,-20.00,,"4,274,862.00"
