TXN DATE,DESCRIPTION,VALUE DATE,MONEY OUT,MONEY IN,LEDGER BALANCE
01 JAN 2023,BALANCE B/FWD,01 JAN 2023,,,0.00
20 JAN 2023,PRINCIPAL ADJUS AA0000000001 Account Capture Bal,20 JAN 2023,,"1,563,147.00","1,563,147.00"
21 JAN 2023,FT23021LCUI9,21 JAN 2023,-125.00,,"1,563,022.00"
21 JAN 2023,FT230218B2CX,21 JAN 2023,-125.00,,"1,562,897.00"
21 JAN 2023,FT23021KRVJ1,21 JAN 2023,-125.00,,"1,562,772.00"
21 JAN 2023,FT23021KFYEA,21 JAN 2023,-125.00,,"1,562,647.00"
21 JAN 2023,FT23021LGKTQ,21 JAN 2023,-125.00,,"1,562,522.00"
23 JAN 2023,FT23023EB4PF,23 JAN 2023,-125.00,,"1,562,397.00"
23 JAN 2023,FT23023KQZST,23 JAN 2023,-125.00,,"1,562,272.00"
24 JAN 2023,FT2302466L2L,24 JAN 2023,-125.00,,"1,562,147.00"
25 JAN 2023,FT23025CADV4,25 JAN 2023,-125.00,,"1,562,022.00"
25 JAN 2023,FT23025QZ81Q,25 JAN 2023,-125.00,,"1,561,897.00"
25 JAN 2023,Cash Withdrawal RT/ CUSTOMER ID/,25 JAN 2023,"-1,000,000.00",,"561,897.00"
25 JAN 2023,Charge - Capita AA0000000001 Withdrawal Receipt,25 JAN 2023,"-3,000.00",,"558,897.00"
27 JAN 2023,FT23027N2XMG,27 JAN 2023,-125.00,,"558,772.00"
27 JAN 2023,FT23027FRUMD,27 JAN 2023,-125.00,,"558,647.00"
27 JAN 2023,FT23027I307W,27 JAN 2023,-125.00,,"558,522.00"
27 JAN 2023,Cost of Cheque Book CHQ.4410000000.0000002,26 JAN 2023,"-4,000.00",,"554,522.00"
30 JAN 2023,FT2303063J91,30 JAN 2023,-125.00,,"554,397.00"
30 JAN 2023,FT23030722MW,30 JAN 2023,-125.00,,"554,272.00"
31 JAN 2023,Charge - Capita AA0000000001 Current Account Bun,31 JAN 2023,"-1,000.00",,"553,272.00"
06 FEB 2023,FT23037AM1OZ,06 FEB 2023,-125.00,,"553,147.00"
08 FEB 2023,Cash Deposit FT23039PP2A8,08 FEB 2023,,"490,000.00","1,043,147.00"
09 FEB 2023,FT230407715T,09 FEB 2023,-125.00,,"1,043,022.00"
09 FEB 2023,Cash Withdrawal CUSTOMER,09 FEB 2023,"-1,000,000.00",,"43,022.00"
09 FEB 2023,Charge - Capita AA0000000001 Withdrawal Receipt,09 FEB 2023,"-3,000.00",,"40,022.00"
09 FEB 2023,FT23040P078Z,09 FEB 2023,-125.00,,"39,897.00"
17 FEB 2023,Channel Transac AC-RWF000000000001 FT2304896,17 FEB 2023,-100.00,,"39,797.00"
17 FEB 2023,FT23048V0AB6,17 FEB 2023,"-20,000.00",,"19,797.00"
21 FEB 2023,Channel Transac AC-RWF000000000001 FT2304896,17 FEB 2023,,100.00,"19,897.00"
21 FEB 2023,FT23048V0AB6,17 FEB 2023,,"20,000.00","39,897.00"
21 FEB 2023,Incoming RTGS P 0000001030674903 0000001030674,21 FEB 2023,,"625,000.00","664,897.00"
21 FEB 2023,Incoming RTGS P FT23052L117E AC-4410000002 FT2,21 FEB 2023,-500.00,,"664,397.00"
21 FEB 2023,Cash Withdrawal RT / CUSTOMER ID,21 FEB 2023,"-650,000.00",,"14,397.00"
21 FEB 2023,Charge - Capita AA0000000001 Withdrawal Receipt,21 FEB 2023,"-3,000.00",,"11,397.00"
27 FEB 2023,Transfer Credit PYT PYTFT23058CJ61L,27 FEB 2023,,"1,848,000.00","1,859,397.00"
28 FEB 2023,Cash Withdrawal CUSTOMER,28 FEB 2023,"-1,800,000.00",,"59,397.00"
28 FEB 2023,Charge - Capita AA0000000001 Withdrawal Receipt,28 FEB 2023,"-3,000.00",,"56,397.00"
28 FEB 2023,Funds Transfer Payment Ledger Fee Ledger FeeF,28 FEB 2023,"-1,000.00",,"55,397.00"
