,Application ID: ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,TO BE FILLED BY THE APPLICANT,,,
No,Requirements ,CIS for VSDC,Check ,Date,Comment,By who,Applicant's comment,Document reference,Date,By who
1,ENCLOSED DOCUMENTATION ,Product brochure,,,,,,,,
2,ENCLOSED DOCUMENTATION ,Product warranty statement,,,,,,,,
3,ENCLOSED DOCUMENTATION ,"User manual
",,,,,,,,
4,ENCLOSED DOCUMENTATION ,Installation guide,,,,,,,,
5,ENCLOSED DOCUMENTATION ,Programming and configuration manual,,,,,,,,
6,OPERATIONAL FUNCTIONS,The CIS shall be able to configure the MRC of each connected device as prescribed in Article 3 of technical specification of CIS for VSDC ,,,,,,,,
7,RECEIPT,CIS shall generates all type of receipt with detailed information including goods and/or service as specified in Article 4 of technical specification of CIS for VSDC,,,,,,,,
8,OPERATIONAL FUNCTIONS,The CIS shall be able to produce Normal Sale (NS) receipt,,,,,,,,
9,OPERATIONAL FUNCTIONS,The CIS shall be able to produce Normal Refund (NR) receipt,,,,,,,,
10,OPERATIONAL FUNCTIONS,The CIS shall be able to produce Copy (CS/CR) of an existing normal receipt/refund,,,,,,,,
11,OPERATIONAL FUNCTIONS,"The CIS shall be able to produce Training (TS, TR) when function enabled",,,,,,,,
12,OPERATIONAL FUNCTIONS,The CIS shall be able to produce Proforma (PS),,,,,,,,
13,OTHER ITEMS NECESSARY FOR TESTING,All necessary communication protocol to connect CIS to VSDC,,,,,,,,
14,OPERATIONAL FUNCTIONS,The CIS shall request receipt signature to VSDC by sending receipt data in prescribed format,,,,,,,,
15,OPERATIONAL FUNCTIONS,The CIS shall Receive response data from VSDC and add this information to receipt structure as described in CIS specification,,,,,,,,
16,OPERATIONAL FUNCTIONS,The CIS shall not produce the receipt in case of error or failure from VSDC,,,,,,,,
17,VISUAL VERIFICATION,CIS shall print out the receipt for every transaction as specified in CIS specification,,,,,,,,
18,VISUAL VERIFICATION,"CIS can print invoice on different format (A4, A5, Paper roll, etc..) as long as it has all required information",,,,,,,,
19,VISUAL VERIFICATION,CIS shall be able to perform a transaction and display an operation of minimum 13 digits inclusive of 2 decimal places,,,,,,,,
20,OPERATIONAL FUNCTIONS,"The CIS shall be able to print the Daily X report and Z report as specified in article 7,18 and 19 of technical specification of CIS for VSDC ",,,,,,,,
21,VISUAL VERIFICATION,CIS software must have a version number which can be verified and printed on each receipt,,,,,,,,
22,PROHIBITED FUNCTIONS,The CIS must not be able to issue receipt of any type if not connected to VSDC unit which is functioning under normal circumstances with the same TIN (must indicate error if VSDC is disconnected or malfunctioned),,,,,,,,
23,OPERATIONAL FUNCTIONS,The CIS shall be able to manage and send the stock information to VSDC in prescribed format,,,,,,,,
24,OPERATIONAL FUNCTIONS,The CIS shall be able to produce PLU report as described in article 21 of technical specification of CIS for VSDC,,,,,,,,
25,OPERATIONAL FUNCTIONS,"The CIS shall be able to produce detailed report of sales, purchases, stock, items and importation",,,,,,,,
26,OPERATIONAL FUNCTIONS,"The CIS shall register the means of payment used for transaction (Cash, Credit, Bank Check, Mobile payment, etc…)",,,,,,,,
